id,movie_id,name
35.0,1.0,Comedy
35.0,2.0,Comedy
18.0,2.0,Drama
10751.0,2.0,Family
10749.0,2.0,Romance
18.0,3.0,Drama
53.0,4.0,Thriller
18.0,4.0,Drama
28.0,5.0,Action
53.0,5.0,Thriller
16.0,6.0,Animation
12.0,6.0,Adventure
10751.0,6.0,Family
27.0,7.0,Horror
53.0,7.0,Thriller
99.0,8.0,Documentary
28.0,9.0,Action
35.0,9.0,Comedy
10402.0,9.0,Music
10751.0,9.0,Family
12.0,9.0,Adventure
35.0,10.0,Comedy
10402.0,10.0,Music
18.0,11.0,Drama
35.0,12.0,Comedy
18.0,13.0,Drama
35.0,14.0,Comedy
80.0,14.0,Crime
28.0,15.0,Action
53.0,15.0,Thriller
878.0,15.0,Science Fiction
9648.0,15.0,Mystery
28.0,16.0,Action
80.0,16.0,Crime
18.0,16.0,Drama
27.0,17.0,Horror
53.0,17.0,Thriller
18.0,18.0,Drama
10749.0,18.0,Romance
35.0,19.0,Comedy
10749.0,19.0,Romance
28.0,20.0,Action
53.0,20.0,Thriller
80.0,20.0,Crime
12.0,21.0,Adventure
10751.0,21.0,Family
878.0,21.0,Science Fiction
27.0,22.0,Horror
53.0,22.0,Thriller
53.0,23.0,Thriller
27.0,23.0,Horror
53.0,24.0,Thriller
9648.0,24.0,Mystery
10769.0,24.0,Foreign
27.0,25.0,Horror
35.0,25.0,Comedy
35.0,26.0,Comedy
27.0,26.0,Horror
9648.0,26.0,Mystery
53.0,26.0,Thriller
80.0,27.0,Crime
18.0,27.0,Drama
9648.0,27.0,Mystery
53.0,27.0,Thriller
18.0,28.0,Drama
35.0,28.0,Comedy
10749.0,28.0,Romance
16.0,29.0,Animation
28.0,30.0,Action
12.0,30.0,Adventure
80.0,30.0,Crime
53.0,30.0,Thriller
18.0,31.0,Drama
35.0,31.0,Comedy
9648.0,32.0,Mystery
18.0,32.0,Drama
53.0,32.0,Thriller
14.0,33.0,Fantasy
28.0,33.0,Action
12.0,33.0,Adventure
27.0,34.0,Horror
28.0,35.0,Action
35.0,35.0,Comedy
80.0,35.0,Crime
53.0,35.0,Thriller
28.0,36.0,Action
80.0,36.0,Crime
53.0,36.0,Thriller
35.0,37.0,Comedy
10749.0,37.0,Romance
28.0,38.0,Action
18.0,38.0,Drama
878.0,38.0,Science Fiction
53.0,38.0,Thriller
53.0,39.0,Thriller
10752.0,40.0,War
37.0,40.0,Western
28.0,41.0,Action
99.0,41.0,Documentary
80.0,42.0,Crime
18.0,42.0,Drama
35.0,43.0,Comedy
18.0,44.0,Drama
35.0,45.0,Comedy
10749.0,45.0,Romance
80.0,46.0,Crime
18.0,46.0,Drama
9648.0,46.0,Mystery
10749.0,46.0,Romance
53.0,46.0,Thriller
16.0,47.0,Animation
10751.0,47.0,Family
35.0,47.0,Comedy
12.0,47.0,Adventure
80.0,48.0,Crime
18.0,48.0,Drama
9648.0,48.0,Mystery
37.0,48.0,Western
18.0,49.0,Drama
35.0,49.0,Comedy
878.0,50.0,Science Fiction
28.0,50.0,Action
12.0,50.0,Adventure
53.0,50.0,Thriller
10749.0,51.0,Romance
18.0,51.0,Drama
35.0,51.0,Comedy
12.0,52.0,Adventure
35.0,52.0,Comedy
12.0,53.0,Adventure
10751.0,53.0,Family
18.0,54.0,Drama
10751.0,54.0,Family
10749.0,54.0,Romance
28.0,55.0,Action
35.0,56.0,Comedy
18.0,56.0,Drama
10749.0,56.0,Romance
35.0,57.0,Comedy
18.0,57.0,Drama
28.0,58.0,Action
80.0,58.0,Crime
14.0,58.0,Fantasy
10402.0,59.0,Music
10749.0,59.0,Romance
28.0,60.0,Action
12.0,60.0,Adventure
35.0,60.0,Comedy
12.0,61.0,Adventure
28.0,61.0,Action
53.0,61.0,Thriller
18.0,62.0,Drama
53.0,63.0,Thriller
14.0,63.0,Fantasy
80.0,63.0,Crime
18.0,63.0,Drama
27.0,64.0,Horror
53.0,64.0,Thriller
18.0,65.0,Drama
12.0,65.0,Adventure
28.0,66.0,Action
80.0,67.0,Crime
35.0,67.0,Comedy
18.0,68.0,Drama
80.0,69.0,Crime
18.0,69.0,Drama
28.0,70.0,Action
80.0,70.0,Crime
18.0,70.0,Drama
53.0,70.0,Thriller
18.0,71.0,Drama
9648.0,71.0,Mystery
53.0,71.0,Thriller
14.0,71.0,Fantasy
18.0,72.0,Drama
35.0,73.0,Comedy
10402.0,73.0,Music
80.0,74.0,Crime
99.0,74.0,Documentary
80.0,75.0,Crime
18.0,75.0,Drama
27.0,76.0,Horror
35.0,76.0,Comedy
18.0,77.0,Drama
10749.0,77.0,Romance
10769.0,77.0,Foreign
35.0,78.0,Comedy
80.0,79.0,Crime
18.0,79.0,Drama
28.0,79.0,Action
53.0,79.0,Thriller
27.0,80.0,Horror
53.0,80.0,Thriller
28.0,81.0,Action
80.0,81.0,Crime
18.0,81.0,Drama
53.0,81.0,Thriller
35.0,82.0,Comedy
18.0,82.0,Drama
10749.0,82.0,Romance
18.0,83.0,Drama
