iso_639_1,movie_id,name
en,1.0,English
en,2.0,English
en,3.0,English
en,4.0,English
hi,4.0,हिन्दी
ko,5.0,한국어/조선말
en,6.0,English
en,7.0,English
ar,8.0,العربية
en,8.0,English
en,9.0,English
en,10.0,English
en,11.0,English
en,12.0,English
en,13.0,English
en,14.0,English
ru,14.0,Pусский
en,15.0,English
sv,15.0,svenska
sr,16.0,Srpski
en,17.0,English
ru,17.0,Pусский
en,18.0,English
de,19.0,Deutsch
en,19.0,English
en,20.0,English
fr,20.0,Français
it,20.0,Italiano
en,21.0,English
en,22.0,English
en,23.0,English
en,24.0,English
en,25.0,English
fr,25.0,Français
it,25.0,Italiano
en,26.0,English
en,27.0,English
en,28.0,English
en,29.0,English
ja,29.0,日本語
en,30.0,English
en,31.0,English
fr,31.0,Français
fr,32.0,Français
en,33.0,English
ar,34.0,العربية
en,34.0,English
fr,34.0,Français
de,34.0,Deutsch
he,34.0,עִבְרִית
ja,34.0,日本語
pt,34.0,Português
la,35.0,Latin
en,35.0,English
fr,35.0,Français
ja,35.0,日本語
zh,35.0,普通话
en,36.0,English
zh,36.0,普通话
ru,36.0,Pусский
en,37.0,English
en,38.0,English
ko,38.0,한국어/조선말
fr,38.0,Français
en,39.0,English
ja,39.0,日本語
es,39.0,Español
en,40.0,English
fr,40.0,Français
es,40.0,Español
en,41.0,English
en,42.0,English
fr,43.0,Français
en,43.0,English
en,44.0,English
en,45.0,English
it,46.0,Italiano
es,46.0,Español
en,47.0,English
es,48.0,Español
en,48.0,English
en,49.0,English
en,50.0,English
nl,51.0,Nederlands
en,52.0,English
it,52.0,Italiano
en,53.0,English
en,54.0,English
en,55.0,English
en,56.0,English
en,57.0,English
fr,57.0,Français
en,58.0,English
en,59.0,English
en,60.0,English
fr,60.0,Français
en,61.0,English
fr,61.0,Français
en,62.0,English
it,62.0,Italiano
en,63.0,English
en,64.0,English
en,65.0,English
es,65.0,Español
en,66.0,English
en,67.0,English
cn,68.0,广州话 / 廣州話
zh,68.0,普通话
en,69.0,English
en,70.0,English
ja,70.0,日本語
en,71.0,English
qu,72.0,
es,72.0,Español
en,73.0,English
cs,74.0,Český
en,75.0,English
en,76.0,English
en,77.0,English
ta,77.0,தமிழ்
te,77.0,తెలుగు
en,78.0,English
en,79.0,English
de,80.0,Deutsch
en,80.0,English
es,80.0,Español
en,81.0,English
en,82.0,English
pl,82.0,Polski
en,83.0,English
en,84.0,English
ru,84.0,Pусский
en,85.0,English
en,86.0,English
fr,86.0,Français
en,87.0,English
cn,88.0,广州话 / 廣州話
en,88.0,English
en,89.0,English
en,90.0,English
en,91.0,English
ja,91.0,日本語
fr,91.0,Français
it,92.0,Italiano
tr,92.0,Türkçe
fr,93.0,Français
it,93.0,Italiano
en,94.0,English
es,95.0,Español
en,95.0,English
ru,96.0,Pусский
fr,97.0,Français
de,98.0,Deutsch
ru,98.0,Pусский
es,99.0,Español
en,99.0,English
en,100.0,English
es,100.0,Español
en,101.0,English
en,102.0,English
ko,103.0,한국어/조선말
en,104.0,English
tr,105.0,Türkçe
en,106.0,English
en,107.0,English
en,108.0,English
fr,108.0,Français
la,108.0,Latin
gd,108.0,
en,109.0,English
en,110.0,English
en,111.0,English
en,112.0,English
en,113.0,English
en,114.0,English
en,115.0,English
en,116.0,English
en,117.0,English
ja,117.0,日本語
zh,117.0,普通话
en,118.0,English
en,119.0,English
zh,120.0,普通话
cn,120.0,广州话 / 廣州話
en,120.0,English
cn,121.0,广州话 / 廣州話
en,121.0,English
zh,121.0,普通话
en,122.0,English
en,123.0,English
en,124.0,English
zh,124.0,普通话
en,125.0,English
fr,125.0,Français
sv,125.0,svenska
ja,126.0,日本語
zh,126.0,普通话
en,126.0,English
en,127.0,English
en,128.0,English
en,129.0,English
hu,129.0,Magyar
it,129.0,Italiano
en,130.0,English
en,131.0,English
en,132.0,English
es,132.0,Español
en,133.0,English
en,134.0,English
es,134.0,Español
en,135.0,English
en,136.0,English
en,137.0,English
en,138.0,English
en,139.0,English
en,140.0,English
de,140.0,Deutsch
it,140.0,Italiano
en,141.0,English
en,142.0,English
en,143.0,English
en,144.0,English
en,145.0,English
en,146.0,English
fr,146.0,Français
en,147.0,English
en,148.0,English
fr,148.0,Français
ja,148.0,日本語
ko,148.0,한국어/조선말
en,149.0,English
en,150.0,English
